2,200,200,101,2,3,1,200,50
2,200,200,107,2,8,1,200,50
3,100,105,102,3,4,1,200,50
1,200,50,103,1,1,1,200,50
1,200,50,103,1,1,2,200,200
2,200,200,101,2,3,2,200,200
2,200,200,107,2,8,2,200,200
3,100,105,102,3,4,2,200,200
1,200,50,103,1,1,3,100,105
2,200,200,101,2,3,3,100,105
2,200,200,107,2,8,3,100,105
3,100,105,102,3,4,3,100,105
2,200,200,107,2,8,4,100,50
3,100,105,102,3,4,4,100,50
1,200,50,103,1,1,4,100,50
2,200,200,101,2,3,4,100,50
1,200,50,103,1,1,5,100,500
2,200,200,101,2,3,5,100,500
2,200,200,107,2,8,5,100,500
3,100,105,102,3,4,5,100,500
2,200,200,101,2,3,6,300,400
2,200,200,107,2,8,6,300,400
3,100,105,102,3,4,6,300,400
1,200,50,103,1,1,6,300,400
